P_list: [2000]
rho_list: [np.float64(0.0), np.float64(0.05), np.float64(0.1), np.float64(0.15), np.float64(0.2), np.float64(0.25), np.float64(0.3), np.float64(0.35), np.float64(0.4), np.float64(0.45), np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65), np.float64(0.7), np.float64(0.75), np.float64(0.8), np.float64(0.85), np.float64(0.9), np.float64(0.95), np.float64(1.0)]
n_iters: 300000
n_diag_samples: 100
run_pcn: False
run_mess: False
run_mpcn: False
run_independent_pcn: True
independent_pcn_count: 200
mpcn_parallel_backend: process
mpcn_parallel_n_jobs: 12
mpcn_parallelize_props: False
mpcn_llh_chunk_size: 0
checkpoint_interval: 10000
data_id: data_h5d92590a6971
run_id: mpcn_rho_sweep_h0546a8b4ce54
Run directory: /home/senng/multiproposal-internal/estimations/solute_transport/data_h5d92590a6971/sweep/mpcn_rho_sweep_h0546a8b4ce54
pCN disabled (run_pcn=False).
pCN independent chain 124/200 done: rho=0.500, accept=0.001, runtime=21.67s
pCN independent chain 125/200 done: rho=0.500, accept=0.001, runtime=21.73s
pCN independent chain 126/200 done: rho=0.500, accept=0.001, runtime=21.85s
pCN independent chain 127/200 done: rho=0.500, accept=0.001, runtime=21.91s
pCN independent chain 128/200 done: rho=0.500, accept=0.001, runtime=20.71s
pCN independent chain 129/200 done: rho=0.500, accept=0.001, runtime=16.02s
pCN independent chain 130/200 done: rho=0.500, accept=0.001, runtime=15.95s
pCN independent chain 131/200 done: rho=0.500, accept=0.001, runtime=15.98s
pCN independent chain 132/200 done: rho=0.500, accept=0.001, runtime=15.97s
pCN independent chain 133/200 done: rho=0.500, accept=0.001, runtime=16.05s
pCN independent chain 134/200 done: rho=0.500, accept=0.001, runtime=16.06s
pCN independent chain 135/200 done: rho=0.500, accept=0.001, runtime=16.03s
pCN independent chain 136/200 done: rho=0.500, accept=0.001, runtime=15.98s
pCN independent chain 137/200 done: rho=0.500, accept=0.001, runtime=16.25s
pCN independent chain 138/200 done: rho=0.500, accept=0.001, runtime=16.21s
pCN independent chain 139/200 done: rho=0.500, accept=0.001, runtime=16.29s
pCN independent chain 140/200 done: rho=0.500, accept=0.001, runtime=16.22s
pCN independent chain 141/200 done: rho=0.500, accept=0.001, runtime=16.33s
pCN independent chain 142/200 done: rho=0.500, accept=0.001, runtime=16.39s
pCN independent chain 143/200 done: rho=0.500, accept=0.001, runtime=16.32s
pCN independent chain 144/200 done: rho=0.500, accept=0.001, runtime=16.03s
pCN independent chain 145/200 done: rho=0.500, accept=0.001, runtime=16.15s
pCN independent chain 146/200 done: rho=0.500, accept=0.001, runtime=16.10s
pCN independent chain 147/200 done: rho=0.500, accept=0.001, runtime=16.16s
pCN independent chain 148/200 done: rho=0.500, accept=0.001, runtime=16.15s
pCN independent chain 149/200 done: rho=0.500, accept=0.001, runtime=16.18s
pCN independent chain 150/200 done: rho=0.500, accept=0.001, runtime=16.02s
pCN independent chain 151/200 done: rho=0.500, accept=0.001, runtime=16.00s
pCN independent chain 152/200 done: rho=0.500, accept=0.001, runtime=16.02s
pCN independent chain 153/200 done: rho=0.500, accept=0.001, runtime=16.09s
pCN independent chain 154/200 done: rho=0.500, accept=0.001, runtime=16.01s
pCN independent chain 155/200 done: rho=0.500, accept=0.001, runtime=16.07s
pCN independent chain 156/200 done: rho=0.500, accept=0.001, runtime=15.98s
pCN independent chain 157/200 done: rho=0.500, accept=0.001, runtime=16.00s
pCN independent chain 158/200 done: rho=0.500, accept=0.001, runtime=15.94s
pCN independent chain 159/200 done: rho=0.500, accept=0.001, runtime=16.02s
pCN independent chain 160/200 done: rho=0.500, accept=0.001, runtime=16.34s
pCN independent chain 161/200 done: rho=0.500, accept=0.001, runtime=16.31s
pCN independent chain 162/200 done: rho=0.500, accept=0.001, runtime=16.36s
pCN independent chain 163/200 done: rho=0.500, accept=0.001, runtime=16.25s
pCN independent chain 164/200 done: rho=0.500, accept=0.001, runtime=16.24s
