P_list: [2000]
rho_list: [np.float64(0.0), np.float64(0.05), np.float64(0.1), np.float64(0.15), np.float64(0.2), np.float64(0.25), np.float64(0.3), np.float64(0.35), np.float64(0.4), np.float64(0.45), np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65), np.float64(0.7), np.float64(0.75), np.float64(0.8), np.float64(0.85), np.float64(0.9), np.float64(0.95), np.float64(1.0)]
n_iters: 300000
n_diag_samples: 100
run_pcn: False
run_mess: False
run_mpcn: False
run_independent_pcn: True
independent_pcn_count: 200
mpcn_parallel_backend: process
mpcn_parallel_n_jobs: 12
mpcn_parallelize_props: False
mpcn_llh_chunk_size: 0
checkpoint_interval: 10000
data_id: data_h5d92590a6971
run_id: mpcn_rho_sweep_h0546a8b4ce54
Run directory: /home/senng/multiproposal-internal/estimations/solute_transport/data_h5d92590a6971/sweep/mpcn_rho_sweep_h0546a8b4ce54
pCN disabled (run_pcn=False).
pCN independent loaded: rho=0.000, P=200, completed=500
pCN independent chain 160/200 done: rho=1.000, accept=1.000, runtime=15.01s
pCN independent chain 161/200 done: rho=1.000, accept=1.000, runtime=15.02s
pCN independent chain 162/200 done: rho=1.000, accept=1.000, runtime=14.96s
pCN independent chain 163/200 done: rho=1.000, accept=1.000, runtime=15.26s
pCN independent chain 164/200 done: rho=1.000, accept=1.000, runtime=15.04s
pCN independent chain 165/200 done: rho=1.000, accept=1.000, runtime=15.47s
pCN independent chain 166/200 done: rho=1.000, accept=1.000, runtime=15.26s
pCN independent chain 167/200 done: rho=1.000, accept=1.000, runtime=15.23s
pCN independent chain 168/200 done: rho=1.000, accept=1.000, runtime=15.11s
pCN independent chain 169/200 done: rho=1.000, accept=1.000, runtime=15.21s
pCN independent chain 170/200 done: rho=1.000, accept=1.000, runtime=15.16s
pCN independent chain 171/200 done: rho=1.000, accept=1.000, runtime=15.18s
pCN independent chain 172/200 done: rho=1.000, accept=1.000, runtime=15.12s
pCN independent chain 173/200 done: rho=1.000, accept=1.000, runtime=15.23s
pCN independent chain 174/200 done: rho=1.000, accept=1.000, runtime=15.48s
pCN independent chain 175/200 done: rho=1.000, accept=1.000, runtime=15.19s
pCN independent chain 176/200 done: rho=1.000, accept=1.000, runtime=14.94s
pCN independent chain 177/200 done: rho=1.000, accept=1.000, runtime=15.08s
pCN independent chain 178/200 done: rho=1.000, accept=1.000, runtime=15.01s
pCN independent chain 179/200 done: rho=1.000, accept=1.000, runtime=14.92s
pCN independent chain 180/200 done: rho=1.000, accept=1.000, runtime=14.92s
pCN independent chain 181/200 done: rho=1.000, accept=1.000, runtime=15.12s
pCN independent chain 182/200 done: rho=1.000, accept=1.000, runtime=14.89s
pCN independent chain 183/200 done: rho=1.000, accept=1.000, runtime=14.91s
pCN independent chain 184/200 done: rho=1.000, accept=1.000, runtime=14.82s
pCN independent chain 185/200 done: rho=1.000, accept=1.000, runtime=15.16s
pCN independent chain 186/200 done: rho=1.000, accept=1.000, runtime=15.10s
pCN independent chain 187/200 done: rho=1.000, accept=1.000, runtime=15.37s
pCN independent chain 188/200 done: rho=1.000, accept=1.000, runtime=15.42s
pCN independent chain 189/200 done: rho=1.000, accept=1.000, runtime=14.85s
pCN independent chain 190/200 done: rho=1.000, accept=1.000, runtime=15.10s
pCN independent chain 191/200 done: rho=1.000, accept=1.000, runtime=15.11s
